Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2016-95;19.8.2016;Pysäköintijärjestelyt Laurinniityntie 14 edustalla;HEL 2016-008953;6611-4;
2016-96;19.8.2016;Vieraspysäköintipaikkojen merkitseminen Juustenintie 2 edustalle;HEL 2016-008956;Juustenintie;
2016-101;19.8.2016;Pysäköinnin kieltäminen Vanha Tapanilantie 90 edustalla;HEL 2016-008963;Vanha Tapanilantie;
2016-104;26.8.2016;Pysäköintijärjestelyt Hallainvuorentiellä;HEL 2016-009238;Hallainvuorentie;
2016-105;26.8.2016;Pysäköinnin kieltäminen Tulppatie 7 edustalla;HEL 2016-009243;Tulppatie;
2016-108;2.9.2016;Pysäköinin rajoittamnen Työpajankadulla;HEL 2015-005339;Työpajankatu;
2016-109;2.9.2016;Lyhytaikainen pysäköintipaikka Sörnäistenkatu 1 edustalle;HEL 2016-009190;Sörnäistenkatu;
2016-107;2.9.2016;Lyhytaikaisten pysäköintipaikkojen merkitseminen Leiviskätie 4 edustalle;HEL 2016-009368;Leiviskätie;
2016-106;2.9.2016;Tilkanvierron ympäristön liikenteen ohjaussuunnitelma;HEL 2016-009395;6614-2;
2016-110;9.9.2016;Asukaspysäköintipaikan lisääminen Merikatu 11 edustalle;HEL 2016-008778;Merikatu;
2016-111;9.9.2016;Asiointipysäköintipaikkojen merkitseminen Kasarmikatu 25 edustalle;HEL 2016-008779;Kasarmikatu;
2016-112;9.9.2016;Kettutien ja Siilitien liikenneympyrän liikenteen ohjaussuunnitelma;HEL 2016-009383;6613-3;
2016-114;16.9.2016;Kirjokallionpolun liikenteen ohjaussuunnitelma;HEL 2016-009009;6643-4;
2016-115;16.9.2016;Pysäköinnin kieltämnen Steniuksentie 4 ja 2 edustalla;HEL 2016-009820;Steniuksentie;
2016-116;16.9.2016;Sulkulaitteen asettamnen Tammisalon puistoon johtavalla raitille;HEL 2016-009958;Tammisalonpuisto;
2016-113;16.9.2016;Pysäköintipaikan merkitseminen ja aikarajoituksen muuttaminen Luutnantintie 5 edustan pysäköintialueella;HEL 2016-010006;6642-4;
2016-119;30.9.2016;Autoliikennettä koskevan päättyvän kadun merkitseminen Hallainvuorentielle;HEL 2016-010160;Hallainvuorentie;
2016-118;30.9.2016;Ensi-Kodin tien liikennejärjestelyt;HEL 2016-010508;6646-4;
2016-121;7.10.2016;Lapsista varoittaminen Ehrensvärdintie 31 edustalla;HEL 2016-010756;Ehrensvärdintie;
2016-122;7.10.2016;Helsinginkadun liikenteen ohjaussuunnitelma välillä Mannerheimintie Hammarskjöldintie;HEL 2016-010771;6647-1;
2016-120;7.10.2016;Skatanniemi- nimisen tien ajorajoitus;;;
2016-125;14.10.2016;Eteläesplanadin ja Etelärannan risteyksen risteysruudukko;HEL 2016-010312;6650-4;
2016-123;14.10.2016;Talinrannan pyöräliikennejärjestelyt ja Muusantorin pysäköintijärjestelyt;HEL 2016-010596;6648-2;
2016-124;14.10.2016;CD-paikkojen merkitseminen Pohjoisesplanadi 39 edustalle;HEL 2016-010906;Pohjoisesplanadi;
2016-129;21.10.2016;Asukaspysäköintipaikkojen lisääminen Lönnrotinkatu 43 edustalle;HEL 2016-009430;Lönnrotinkatu;
2016-128;21.10.2016;Lastausruudun merkitseminen Castreninkatu 9 edustalla;HEL 2016-009772;6656-4;
2016-130;21.10.2016;Asukaspysäköintipaikkojen lisääminen Eläintarhantielle;HEL 2016-010362;6654-3;
2016-127;21.10.2016;Mannerheimintien liikenteen ohjaussuunnitelma Kolmensepänaukion kohdalla;HEL 2016-011143;6653-3;
2016-126;21.10.2016;Pysäköinnin kieltäminen Fredrikinkatu 63a edustalla;HEL 2016-011245;Fredrikinkatu;
2016-131;21.10.2016;Pysäköintijärjestelyt Tammisalontie 6 ja 8 vastapäätä;HEL 2016-011246;Tammisalontie;
2016-133;21.10.2016;Kauppakeskus i3 opastus kauppakartanonkadulla ja Visbynkadulla;HEL 2016-011258;6655-4;
2016-132;21.10.2016;Pysäyttämisen kieltäminen Jauhokujalla;HEL 2016-011277;Jauhokuja, Jauhokujan pysäköinti, muistio;
2016-134;28.10.2016;Asukaspysäköintipaikkojen lisääminen Tervasaarenkannaksella;HEL 2016-011461;6658-3;
2016-136;4.11.2016;Munkinpolun sulkulaite;HEL 2016-006435;Munkinpolku;
2016-135;4.11.2016;Pysäytysviivan maalaaminen Helsinginkadulle Hämeentien risteykseen;HEL 2016-011881;Helsinginkatu;
2016-138;11.11.2016;Asukaspysäköintipaikkojen lisääminen Hakaniemen sillan alle;HEL 2016-012043;6661-4;
2016-139;11.11.2016;Pysäköintijärjestelyt Böstaksentien pohjoisosalla;HEL 2016-012196;6664-4;
2016-140;11.11.2016;Päätie 41 tontilleajojärjestelyt;HEL 2016-012197;6663-4;
2016-141;11.11.2016;Lapsista varoittaminen Käpyläntie 12 edustalla ja sairaalasta varoittavien liikennemerkkien poistaminen;HEL 2016-012198;Käpyläntie ;
2016-137;11.11.2016;Pysäkkijärjestelyt Suutarilantie 65 edustalla;HEL 2016-012207;6665-4;
2016-142;18.11.2016;Osuuskunnantien pysäköintikielto;HEL 2016-012272;Osuuskunnantie ;
2016-146;25.11.2016;Asiointipysäköintipaikkojen lisääminen Hietaniemenkadun länsipäähän;HEL 2016-003784;6668-3;
2016-145;25.11.2016;Pysäköinnin kieltäminen Heinolankdun koillis- ja kaakkoisreunalla;HEL 2016-012624;Heinolankatu;
2016-144;25.11.2016;Hidastejärjestelyt Osuuskunnantie 47 ja 49 kohdalla;HEL 2016-012702;6669-4;
2016-143;25.11.2016;Yhdistetyn pyörätien ja jalkakäytävän selkeyttäminen Pihlajamäentie 37 tonttiliittymää vastapäätä;HEL 2016-012769;Pihlajamäentie;
2016-148;2.12.2016;Eteläinen Hesperiankadun liikennesuunnitelma välillä Hietakanaksentie Mechelininkatu;HEL 2016-012791;6671-3;
2016-149;2.12.2016;Liikennejärjestelyt Tehtaankadun ja Laivurinkadun risteyksessä;HEL 2016-012792;6666-3;
2016-150;2.12.2016;Perhekunnantien liikenteen ohjaussuunnitelma välillä Vanhemientie Paletinkierto;HEL 2016-012977;6672-3;
2016-151;2.12.2016;Palkkatilanportin liikenteen ohjaussuunnitelma;HEL 2016-013014;6670-4;
2016-152;9.12.2016;Kaupunkipyöräasemien sijoittaminen kantakaupunkiin;HEL 2015-011994;6675-2;
2016-154;16.12.2016;Liikennejärjestelyt Laulurastaantie 2 kohdalla ;HEL 2016-013626;6676-4;
2016-153;16.12.2016;Pyörätelineiden sijoittaminen Sörnäisiin, Kallioon, Alppiharjuun ja Vallillaan;HEL 2016-013628;6677-2;
2017-14;13.1.2017;Pysäköintikiellon voimassaoloajan muuttaminen Vuorimiehenkatu 29 edustalla;HEL 2016-013325;Vuorimiehenkatu;https://paatokset.hel.fi/fi/asia/hel-2016-013325
2017-6;13.1.2017;Pysäköintilaitokseen opastaminen Tyynenmerenkatu 7 edustalta;HEL 2016-013738;Tyynenmerenkatu;https://paatokset.hel.fi/fi/asia/hel-2016-013738
2017-7;13.1.2017;Pysäköintikiellon voimassaoloajan muuttamnen Rauhankatu 9 edustalla;HEL 2016-014009;Rauhankatu;https://paatokset.hel.fi/fi/asia/hel-2016-014009
2017-12;13.1.2017;CD-paikkojen merkitseminen Kauppiaankatu 1 ja 3 edustalle;HEL 2016-014025;Kauppiaankatu;https://paatokset.hel.fi/fi/asia/hel-2016-014025
2017-11;13.1.2017;Pysäköinnin kieltäminen Kiskontie 1 edustalla;HEL 2017-000027;Kiskontie;https://paatokset.hel.fi/fi/asia/hel-2017-000027
2017-15;13.1.2017;Vesilinnankadun itäpään pysäköintijärjestelyt;HEL 2017-000039;6679-4;https://paatokset.hel.fi/fi/asia/hel-2017-000039
2017-10;13.1.2017;Asukaspysäköintipaikkojen lisääminen Pieni Roobertinkatu 6-4 edustalle;HEL 2017-000041;Pieni Roobertinkatu;https://paatokset.hel.fi/fi/asia/hel-2017-000041
2017-16;13.1.2017;Maksullisten pysäköintipaikkojen lisääminen Sturenkatu 4 ja 6 väliselle pysäköintialueelle;HEL 2017-000042;6680-4;https://paatokset.hel.fi/fi/asia/hel-2017-000042
2017-13;13.1.2017;Asukaspysäköintipaikkojen lisäääminen Fleminginkadulle välillä Satamaradankatu Aleksis Kiven katu;HEL 2017-000043;6681-4;https://paatokset.hel.fi/fi/asia/hel-2017-000043
2017-9;13.1.2017;Asukaspysäköintipaikkojen lisääminen Sturenkatu 27 edustalle;HEL 2017-000046;Sturenkatu 27;https://paatokset.hel.fi/fi/asia/hel-2017-000046
2017-8;13.1.2017;Asukaspysäköintipaikkojen lisääminen Hakaniemenrannan ja hakaniemenkadun väliselle pysäköintialueelle;HEL 2017-000090;Hakaniemenranta;https://paatokset.hel.fi/fi/asia/hel-2017-000090
2017-5;13.1.2017;Liikennejärjestelyt Kalervonkadun ja Väinölönkadun risteyksessä;HEL 2017-000091;6683-3;https://paatokset.hel.fi/fi/asia/hel-2017-000091
2017-4;13.1.2017;Yhteiskäyttöautoyritysten pysäköintitunnusten määrien korottamnen;;;https://paatokset.hel.fi/fi/asia/0
2017-21;20.1.2017;Asiointipysäköintipaikkojen lisääminen Merikannontielle ja Rajasaarenpenkereelle;HEL 2016-013338;6691-2;https://paatokset.hel.fi/fi/asia/hel-2016-013338
2017-19;20.1.2017;Asukaspysäöintipaikkojen lisääminen Museokatu 22 edustalle;HEL 2016-014060;6685-4;https://paatokset.hel.fi/fi/asia/hel-2016-014060
2017-18;20.1.2017;Asukaspysäköintipaikkojen lisääminen Bulevardi 25-31 kohdalle;HEL 2017-000259;6690-4;https://paatokset.hel.fi/fi/asia/hel-2017-000259
2017-20;20.1.2017;Hietaniemenkadun pysäköintijärjestelyt välillä Mechelininkatu Lapuankatu;HEL 2017-000321;6684-4;https://paatokset.hel.fi/fi/asia/hel-2017-000321
2017-17;20.1.2017;Naulakallion asuntoalueen liikenteen ohjaussuunnitelma;HEL 2017-000508;6689-1;https://paatokset.hel.fi/fi/asia/hel-2017-000508
2017-22;27.1.2017;Pysäköintijärjestelyt Hämeentien rinnakkaiskadulla, Jyrängöntiellä ja Elisabeth Kochin tiellä;HEL 2017-000522;6687-1;https://paatokset.hel.fi/fi/asia/hel-2017-000522
2017-26;27.1.2017;CD-paikkojen merkitseminen Pohjoinen Makasiinikatu 6 edustalle;HEL 2017-000578;Pohjoinen Makasiinikatu;https://paatokset.hel.fi/fi/asia/hel-2017-000578
2017-25;27.1.2017;Pysäköinnin kieltäminen Merikatu 5 edustalla;HEL 2017-000778;Merikatu;https://paatokset.hel.fi/fi/asia/hel-2017-000778
2017-23;27.1.2017;Pysäköinnin kieltäminen Eiranrannan pohjoisreunalla;HEL 2017-000780;Eiranranta;https://paatokset.hel.fi/fi/asia/hel-2017-000780
2017-24;27.1.2017;Asukaspysäköintipaikkojen lisääminen Lapinlahdenkadun länsipäähän;HEL 2017-000811;6692-4;https://paatokset.hel.fi/fi/asia/hel-2017-000811
2017-28;10.2.2017;Yhteiskäyttöautopaikkojen merkitseminen Suezinkadulle ja Selkämerenkadulle;HEL 2016-010003;6694-3;https://paatokset.hel.fi/fi/asia/hel-2016-010003
2017-31;10.2.2017;Korotetun suojatien rakentaminen Karpalokujalle;HEL 2017-001271;Karpalokuja;https://paatokset.hel.fi/fi/asia/hel-2017-001271
2017-30;10.2.2017;Portaiden rakentaminen Kivikontien länsipäähän;HEL 2017-001272;Kivikontie;https://paatokset.hel.fi/fi/asia/hel-2017-001272
2017-27;10.2.2017;Saukonpaaden liikenteen ohjaussuunnitelma;HEL 2017-001285;6695-2;https://paatokset.hel.fi/fi/asia/hel-2017-001285
2017-29;10.2.2017;Erottajan huoltoajojärjestelyt;HEL 2017-001337;6697-4;https://paatokset.hel.fi/fi/asia/hel-2017-001337
2017-32;17.2.2017;Urheilulehdon ympäristön katujen liikenteen ohjaussuunnitelma;HEL 2017-001356;6698-1;https://paatokset.hel.fi/fi/asia/hel-2017-001356
2017-33;17.2.2017;Malminkatu 18 ja 20 edustan ajoestetolpat;HEL 2017-001490;Malminkatu ;https://paatokset.hel.fi/fi/asia/hel-2017-001490
2017-35;17.2.2017;Linja-auton pysäköin siirtäminen Lampputie 5 edustalla;HEL 2017-001627;Lampputie;https://paatokset.hel.fi/fi/asia/hel-2017-001627
2017-34;17.2.2017;Pysäköinnin kieltäminen Vahakujalla;HEL 2017-001632;Vahakuja;https://paatokset.hel.fi/fi/asia/hel-2017-001632
2017-38;24.2.2017;Siltalanpuiston alueen liikenteen ohjaussuunnitelma;HEL 2017-001638;6688-1;https://paatokset.hel.fi/fi/asia/hel-2017-001638
2017-37;24.2.2017;Kampinkujan ajoestetolpat;HEL 2017-001823;Kampinkuja;https://paatokset.hel.fi/fi/asia/hel-2017-001823
2017-43;3.3.2017;Kaupunkipyöräasemien sijainnin tarkistaminen Pasilan alueella;HEL 2017-002286;6703-2;https://paatokset.hel.fi/fi/asia/hel-2017-002286
2017-42;3.3.2017;Opastejärjestelyt Tattariharjuntien pohjoisosassa;HEL 2017-002297;Tattariharjuntie;https://paatokset.hel.fi/fi/asia/hel-2017-002297
2017-44;10.3.2017;Suojatien siirto Sandelsinkatu 4 kohdalle;HEL 2017-001138;6699-3;https://paatokset.hel.fi/fi/asia/hel-2017-001138
2017-45;10.3.2017;Pysäköinnin kieltäminen Ehrenströmintie 1a vastapäätä;HEL 2017-002367;Ehrenströmintie;https://paatokset.hel.fi/fi/asia/hel-2017-002367
2017-46;10.3.2017;Raitiotiestä varoittamnen Kasarmikadulla Tarkk'ampujankaun risteyksessä;HEL 2017-002639;Kasarmikatu;https://paatokset.hel.fi/fi/asia/hel-2017-002639
2017-48;17.3.2017;Maamolahdentien sillan painorajoitusten merkitseminen;HEL 2017-002568;Maamonlahdentie;https://paatokset.hel.fi/fi/asia/hel-2017-002568
2017-50;17.3.2017;Katajaharjuntien sillan painorajoitusten merkitseminen;HEL 2017-002569;Katajaharjuntie;https://paatokset.hel.fi/fi/asia/hel-2017-002569
2017-47;17.3.2017;Rajasaaren sillan painorajoitusten merkitseminen;HEL 2017-002570;Rajasaarenpenger;https://paatokset.hel.fi/fi/asia/hel-2017-002570
2017-49;17.3.2017;Hämeentien sillan painorajoitusten merkitseminen Vallilassa;HEL 2017-002571;Hämeentie;https://paatokset.hel.fi/fi/asia/hel-2017-002571
2017-51;17.3.2017;Tilapäinen pyöräpysäköintijärjestely Kumpulantiellä;HEL 2017-002980;6706-4;https://paatokset.hel.fi/fi/asia/hel-2017-002980
2017-53;7.4.2017;Maatullinpuiston etelänpuoleisen alueen liikenteen ohjaussuunnitelma;HEL 2017-003914;6712-1;https://paatokset.hel.fi/fi/asia/hel-2017-003914
2017-52;7.4.2017;Pyöräpysäköintijärjestelyt Erottajankatu 19 edustalla;HEL 2017-004043;6713-4;https://paatokset.hel.fi/fi/asia/hel-2017-004043
2017-54;7.4.2017;Mäkitorpantien 10 kohdalla olevan suojatien poistaminen;;;https://paatokset.hel.fi/fi/asia/0
2017-65;13.4.2017;Tullivuorentien eteläpuolen liikenteen ohjaussuunnitelma;HEL 2017-004042;6714-1;https://paatokset.hel.fi/fi/asia/hel-2017-004042
2017-63;13.4.2017;Torkkelinaukion ympäristön liikenteen ohjaussuunnitelma;HEL 2017-004101;6715-4;https://paatokset.hel.fi/fi/asia/hel-2017-004101
2017-61;13.4.2017;Linja-auton pysäkin merkitseminen Mariankatu 22 kohdalle;HEL 2017-004261;Mariankatu 22;https://paatokset.hel.fi/fi/asia/hel-2017-004261
2017-62;13.4.2017;Linja-auton pysäkin merkitseminen Mariankatu 12 edustalle;HEL 2017-004262;Mariankatu 12;https://paatokset.hel.fi/fi/asia/hel-2017-004262
2017-59;13.4.2017;Linja-auton pysäkin merkitseminen Mariankatu 3 kohdalla;HEL 2017-004267;Mariankatu 3;https://paatokset.hel.fi/fi/asia/hel-2017-004267
2017-58;13.4.2017;Linja-auton pysäkin merkitseminen Unioninkatu 18 edustalle;HEL 2017-004268;Unioninkatu 18;https://paatokset.hel.fi/fi/asia/hel-2017-004268
2017-60;13.4.2017;Linja.auton pysäkin merkitseminen Eteläranta 12 vastapäätä;HEL 2017-004269;Eteläranta (Vanha kauppahalli);https://paatokset.hel.fi/fi/asia/hel-2017-004269
2017-57;13.4.2017;Linja-auton pysäkin merkitseminen Laivasillankatu 14 kohdalle;HEL 2017-004270;Laivasillankatu 14;https://paatokset.hel.fi/fi/asia/hel-2017-004270
2017-56;13.4.2017;Linja-auton pysäkkien merkitseminen Tehtaankaudn itäpäässä;HEL 2017-004272;Tehtaankadun itäpää;https://paatokset.hel.fi/fi/asia/hel-2017-004272
2017-64;13.4.2017;Teerisuontien lounaisreunan yhdistetyn pyörätien ja jalkakäytävän erottaleminen välillä Ormusmäentie Vilppulantie;HEL 2017-004282;Teerisuontie;https://paatokset.hel.fi/fi/asia/hel-2017-004282
2017-69;28.4.2017;Keisarinluodonlaiturin liikennejärjestelyt Korkeasaaren ja Vallisaaren lauttojen lähtöpaikalla ;HEL 2017-004609;6726-4;https://paatokset.hel.fi/fi/asia/hel-2017-004609
2017-68;28.4.2017;Turistijuna-aseman merkitseminen Unioninkatu 34 edustalle ;HEL 2017-004619;Unioninkatu 34 turistijuna-aseman järjestelyt, Turistijunareitti;https://paatokset.hel.fi/fi/asia/hel-2017-004619
2017-70;28.4.2017;Jalankulun ja pyöräilyn yhteyksien parantaminen Sakarinmäen koululle Knutersintiellä ;HEL 2017-004923;6728-54;https://paatokset.hel.fi/fi/asia/hel-2017-004923
2017-67;28.4.2017;Tilapäiset pyöräpysäköintijärjestelyt kantakaupungin alueella;HEL 2017-004356;6722-3;https://paatokset.hel.fi/fi/asia/hel-2017-004356
2017-75;5.5.2017;Liikennejärjestelyt Tehtaankadun ja Laivurinkadun risteyksessä;HEL 2016-012792;6729-2;https://paatokset.hel.fi/fi/asia/hel-2016-012792
2017-72;5.5.2017;Paperitien ja Betonitien liikenteen ohjaussuunnitelma;HEL 2017-004932;6730-4;https://paatokset.hel.fi/fi/asia/hel-2017-004932
2017-73;5.5.2017;CD-paikkojen merkitseminen Puistokatu 5 edustalle;HEL 2017-005153;Puistokatu 5;https://paatokset.hel.fi/fi/asia/hel-2017-005153
2017-74;5.5.2017;Pysäköinnin kieltäminen Katajaharjuntie 18 edustalla;HEL 2017-005154;Katajaharjuntie 18;https://paatokset.hel.fi/fi/asia/hel-2017-005154
2017-80;12.5.2017;Asema-aukion moottoripyörien pysäköintipaikat;HEL 2017-004602;6723-4;https://paatokset.hel.fi/fi/asia/hel-2017-004602
2017-81;12.5.2017;Vattuniemenkujan pysäköintijärjestelyt välillä Melkkonkatu Vattuniemenkatu;HEL 2017-005196;6731-4;https://paatokset.hel.fi/fi/asia/hel-2017-005196
2017-79;12.5.2017;Paloheinän ulkoilumajan ympäristön liikenteen ohjaussuunnitelma;HEL 2017-005235;6732-3;https://paatokset.hel.fi/fi/asia/hel-2017-005235
2017-78;12.5.2017;Sähkökuorma-autojen ja sähkötyökoneiden latauspaikka Hakaniemenrannass Viherniemenkadun kohdalla;HEL 2017-005354;Hakaniemenranta;https://paatokset.hel.fi/fi/asia/hel-2017-005354
2017-77;12.5.2017;Alppikylänkujan pysäköintijärjestelyt;HEL 2017-005401;Alppikylänkuja;https://paatokset.hel.fi/fi/asia/hel-2017-005401
2017-84;19.5.2017;Osuuskunnantie 31 ja 33 välissä olevan pysäköintipaikan liikenteen ohjaussuunnitelma;HEL 2017-004322;6721-4;https://paatokset.hel.fi/fi/asia/hel-2017-004322
2017-83;19.5.2017;Paciuksenkadun ja Tukholmankadun liikenteen ohjaussuunnitelma;HEL 2017-004416;6724-7, 6725-7;https://paatokset.hel.fi/fi/asia/hel-2017-004416
2017-92;19.5.2017;Kuunaripuiston liikenteen ohjaussuunnitelma;HEL 2017-005469;6651-2;https://paatokset.hel.fi/fi/asia/hel-2017-005469
2017-91;19.5.2017;Linja-auton pysäkin merkitseminen Läntinen Teatterikuja 2 edustalle;HEL 2017-005723;Läntinen Teatterikuja;https://paatokset.hel.fi/fi/asia/hel-2017-005723
2017-87;19.5.2017;Munkkivuoren ostoskeskuksen ympäristön liikenteen ohjaussuunnitelma;HEL 2017-005761;6737-2;https://paatokset.hel.fi/fi/asia/hel-2017-005761
2017-85;19.5.2017;Pysäköinnin kieltäminen Nuijamiestentie 9 edustalla;HEL 2017-005774;Nuijamiestentie;https://paatokset.hel.fi/fi/asia/hel-2017-005774
2017-94;19.5.2017;Teollisuuskadun liikenteen ohjaussuunnitelma välillä Jämsänkatu Ratapihantie;HEL 2017-005825;6733-1;https://paatokset.hel.fi/fi/asia/hel-2017-005825
2017-82;19.5.2017;Somerikkotien linja-autopysäkkijärjestelyt Louhikkotien risteyksen kohdalla;HEL 2017-005840;6740-2;https://paatokset.hel.fi/fi/asia/hel-2017-005840
2017-90;19.5.2017;Moottoripyörien pysäköintipaikan merkitseminen Laivastokadulle Laivastopuistoa vastapäätä;HEL 2017-005841;Laivastokatu;https://paatokset.hel.fi/fi/asia/hel-2017-005841
2017-88;19.5.2017;Polkupyörätaksiaseman merkitseminen Lyypekinlaiturille;HEL 2017-005844;Lyypekinlaituri;https://paatokset.hel.fi/fi/asia/hel-2017-005844
2017-93;19.5.2017;Veturitien liikenteen ohjaussuunnitelma välillä Pasilankatu Höyrykatu;HEL 2017-005845;6734-1, 6735-2;https://paatokset.hel.fi/fi/asia/hel-2017-005845
2017-96;19.5.2017;Firdonkadun liikenteen ohjaussuunnitelma;HEL 2017-005846;6736-4;https://paatokset.hel.fi/fi/asia/hel-2017-005846
2017-89;19.5.2017;Polkupyörätaksiaseman merkitseminen J.R. Aspelinin aukiolle;HEL 2017-005847;J.R.Aspelinin aukio;https://paatokset.hel.fi/fi/asia/hel-2017-005847
2017-97;19.5.2017;Vartiokylänlahden pohjoisosan liikenteen ohjaussuunnitelma;HEL 2017-005850;6738-1;https://paatokset.hel.fi/fi/asia/hel-2017-005850
2017-95;19.5.2017;Pysäköintijärjestelyt Asemapäällikönkatu 14 edustalla;HEL 2017-005863;Asemapäällikönkatu;https://paatokset.hel.fi/fi/asia/hel-2017-005863
2017-86;19.5.2017;Nopeusnäyttötaulujen sijoittaminen;HEL 2017-005921;Nopeusnäyttötaulujen sijainnit ;https://paatokset.hel.fi/fi/asia/hel-2017-005921
2017-13;30.6.2017;Isonpellontien ja Pukinmäenkaaren risteyksen liikenteen ohjaussuunnitelma ja Käskynghaltijantien nopeusrajoituksen alentaminen;HEL 2017-003078;Käskynhaltijantie,6707;https://paatokset.hel.fi/fi/asia/hel-2017-003078
2017-15;30.6.2017;Kirjastoauton pysäköintipaikan merkitseminen Kivikonkaari 49 edustalle;HEL 2017-007118;Kivikonkaari;https://paatokset.hel.fi/fi/asia/hel-2017-007118
2017-16;30.6.2017;Pysäköintijärjestelyt Eteläinen Makasiinikatu 8 edustalla;HEL 2017-007153;6741;https://paatokset.hel.fi/fi/asia/hel-2017-007153
2017-17;30.6.2017;Pohjoisen Makasiinikadun länsipuolen pysäköintijärjestelyt;HEL 2017-007434;6744;https://paatokset.hel.fi/fi/asia/hel-2017-007434
2017-14;30.6.2017;Pysäkki- ja pyörätiejärjestelyt Neulastiellä;HEL 2017-007487;Neulastie;https://paatokset.hel.fi/fi/asia/hel-2017-007487
2017-12;30.6.2017;Suojatien merkitseminen Venemestarintie 21 kohdalle;HEL 2017-007493;Venemestarintie;https://paatokset.hel.fi/fi/asia/hel-2017-007493
2017-19;30.6.2017;Junatien (Itäväylän) ja Kalasataman keskuksen muiden lähikatujen liikenteen ohjaussuunnitelmat;HEL 2017-007511;6742 Junatie (Itäväylä) Kalasataman keskuksen kohdalla, 6743 Kalasataman keskuksen 1. vaihe;https://paatokset.hel.fi/fi/asia/hel-2017-007511
2017-18;30.6.2017;Tilapäinen pyöräpysäköintijärjestely Lintulahdenkatu 2 edustalla;HEL 2017-007577;6747;https://paatokset.hel.fi/fi/asia/hel-2017-007577
2017-23;18.8.2017;CD-paikkojen merkitseminen Pohjoinen Makasiinikatu 3-5 edustalle;HEL 2017-000928;Pohjoinen Makasiinikatu;https://paatokset.hel.fi/fi/asia/hel-2017-000928
2017-24;18.8.2017;Ilmattarentien, Louhentien ja Vipusentien risteysalueen liikennejärjestelyt;HEL 2017-008963;6749;https://paatokset.hel.fi/fi/asia/hel-2017-008963
